taco
brokerage,sic_codes,company_name,company_number,jurisdiction,last_full_members_list_date,date_of_creation,type,status,undeliverable_registered_office_address,has_been_liquidated,etag,has_insolvency_history,company_status,has_charges,registered_office_is_in_dispute,has_super_secure_pscs,can_file,registered_office_address.region,registered_office_address.postal_code,registered_office_address.locality,registered_office_address.address_line_1,accounts.next_accounts.period_end_on,accounts.next_accounts.due_on,accounts.next_accounts.overdue,accounts.next_accounts.period_start_on,accounts.last_accounts.made_up_to,accounts.last_accounts.type,accounts.last_accounts.period_start_on,accounts.last_accounts.period_end_on,accounts.next_due,accounts.next_made_up_to,accounts.accounting_reference_date.day,accounts.accounting_reference_date.month,accounts.overdue,confirmation_statement.next_made_up_to,confirmation_statement.overdue,confirmation_statement.last_made_up_to,confirmation_statement.next_due,links.self,links.filing_history,links.officers,links.persons_with_significant_control,registered_office_address.country,previous_company_names,registered_office_address.address_line_2,links.charges,links.persons_with_significant_control_statements,date_of_cessation,links.insolvency,branch_company_details.parent_company_name,branch_company_details.parent_company_number,branch_company_details.business_activity,links.overseas,external_registration_number,links.uk_establishments,foreign_company_details.accounts.must_file_within.months,foreign_company_details.accounts.account_period_to.day,foreign_company_details.accounts.account_period_to.month,foreign_company_details.accounts.account_period_from.day,foreign_company_details.accounts.account_period_from.month,foreign_company_details.accounting_requirement.foreign_account_type,foreign_company_details.accounting_requirement.terms_of_account_publication,foreign_company_details.governed_by,foreign_company_details.legal_form,foreign_company_details.originating_registry.country,foreign_company_details.originating_registry.name,foreign_company_details.business_activity,foreign_company_details.registration_number,foreign_company_details.is_a_credit_financial_institution,annual_return.last_made_up_to,links.registers,registered_office_address.care_of,super_secure_managing_officer_count,service_address.address_line_1,service_address.locality,service_address.postal_code,service_address.region,service_address.country,service_address.address_line_2,company_status_detail,partial_data_available
Redwood Business Insurance Services Ltd (Premier),,REDWOOD BUSINESS INSURANCE SERVICES LIMITED,4143803,england-wales,2016-01-18,2001-01-18,ltd,active,FALSE,FALSE,1863d690302508fb7f19083703905216287881b3,FALSE,active,TRUE,FALSE,FALSE,TRUE,,SS6 7UP,Rayleigh,Vantage House,2023-03-31,2023-12-31,FALSE,2022-04-01,2022-03-31,total-exemption-full,2021-04-01,2022-03-31,2023-12-31,2023-03-31,31,3,FALSE,2024-01-18,FALSE,2023-01-18,2024-02-01,/company/04143803,/company/04143803/filing-history,/company/04143803/officers,/company/04143803/persons-with-significant-control,England,,6/7 Claydons Lane,/company/04143803/charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pace Ward Ltd (Premier),['99999'],CENTURY INSURANCE BROKER CO LTD (REPRESENTATIVE OFFICE),FC032718,united-kingdom,,2015-05-01,oversea-company,,FALSE,,49aff099ee1e3fd009e3642cd740d171cbaae8d0,FALSE,active,FALSE,,,FALSE,Beijing,,"Xichend District,","Room 1937-1943a, Building 10 - Building 6,8,10,12,16,18,",2015-12-31,,FALSE,,2014-12-31,null,,2014-12-31,,2015-12-31,,,FALSE,,,,,/company/FC032718,/company/FC032718/filing-history,/company/FC032718/officers,,,,"Xuanwumenwai Street,",,,,,,,,,110102005766463,/company/FC032718/uk-establishments,3,31,12,1,1,accounting-requirements-of-originating-country-apply,accounts-publication-date-supplied-by-company,"Company Law Of China, Insurance Law Of China - Provisions Of The Supervision & Administration Of Insurance Brokerage Institutions (2013 Revision)",Limited Private Company,CHINA,Beijing Administation For Industry And Commerce (Baic),"Establish Insurance Plans For The Insurance Applicant, Choose The Insurer, Perfo",110102005766463,FALSE,,,,,,,,,,,,
Dickson Financial Services Ltd t/as Innovation Broking,['66220'],DICKSON INSURANCE BROKERS LIMITED,2022902,england-wales,2016-01-05,1986-05-27,ltd,,FALSE,FALSE,7f06fd2d25b71fbcf483dc3413f7c6f8b95f02c8,FALSE,dissolved,FALSE,FALSE,FALSE,FALSE,,EC4N 8AW,London,The Walbrook Building,,,,,2019-12-31,total-exemption-full,,2019-12-31,,,31,12,,,,,,/company/02022902,/company/02022902/filing-history,/company/02022902/officers,/company/02022902/persons-with-significant-control,,"[{'ceased_on': '1988-01-15', 'name': 'CHECKMOVE LIMITED', 'effective_from': '1986-05-27'}]",25 Walbrook,,,2021-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheviot Insurance Services,['66220'],CHEVIOT INSURANCE SERVICES LTD.,9303679,england-wales,2015-11-10,2014-11-10,ltd,active,FALSE,FALSE,478fcb1cd15c8232d3b5fd4325b5d36916d897fb,FALSE,active,FALSE,FALSE,FALSE,TRUE,,NE6 2HL,Newcastle Upon Tyne,Hoults Yard,2022-12-31,2023-09-30,FALSE,2022-01-01,2021-12-31,micro-entity,2021-01-01,2021-12-31,2023-09-30,2022-12-31,31,12,FALSE,2023-10-28,FALSE,2022-10-28,2023-11-11,/company/09303679,/company/09303679/filing-history,/company/09303679/officers,/company/09303679/persons-with-significant-control,,"[{'ceased_on': '2015-08-15', 'name': 'OPENCAST ADVISORY LTD', 'effective_from': '2014-11-10'}]",Walker Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Morgan Partnership Ltd,"['41100', '68209']",MORGAN BETTS & CO INSURANCE BROKERS LTD,11099689,england-wales,,2017-12-06,ltd,,FALSE,,c0c866d8bf4442a4d5d23507a5c238bcb598025f,TRUE,liquidation,FALSE,FALSE,FALSE,TRUE,Cheshire,SK9 1AW,Bramhall,Suite 1a Sovereign House,2022-12-31,2023-09-30,FALSE,2022-01-01,2021-12-31,micro-entity,2021-01-01,2021-12-31,2023-09-30,2022-12-31,31,12,FALSE,2022-12-05,TRUE,2021-12-05,2022-12-19,/company/11099689,/company/11099689/filing-history,/company/11099689/officers,/company/11099689/persons-with-significant-control,,"[{'name': 'BAYANIHAN BROKING SERVICES LTD', 'effective_from': '2017-12-06', 'ceased_on': '2020-08-16'}]",,,,,/company/11099689/insolvency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aston Lark Limited (Colchester),['65120'],ASTON INSURANCE BROKERS LIMITED,3192732,england-wales,2016-04-24,1996-04-30,ltd,active,FALSE,FALSE,5ec2cfb4e49140f760e8bf397a83b8e36ceec974,FALSE,active,FALSE,FALSE,FALSE,TRUE,,RM17 5ED,Essex,44/54 Orsett Road,2023-08-31,2024-05-31,FALSE,2022-09-01,2022-08-31,total-exemption-full,2021-09-01,2022-08-31,2024-05-31,2023-08-31,31,8,FALSE,2024-04-24,FALSE,2023-04-24,2024-05-08,/company/03192732,/company/03192732/filing-history,/company/03192732/officers,/company/03192732/persons-with-significant-control,,"[{'effective_from': '1996-06-24', 'ceased_on': '1996-11-12', 'name': 'ASTON INSURANCE SERVICES LIMITED'}, {'effective_from': '1996-04-30', 'name': 'VIEWLOAD LIMITED', 'ceased_on': '1996-06-24'}]",Grays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIB Risk Services Ltd T/as PIB Insurance Brokers (Bristol),['65120'],PIB RISK SERVICES LIMITED,2682789,england-wales,2016-01-01,1992-01-30,ltd,,FALSE,FALSE,6417ce2dd161061589954be4793cdbdb54e5d28d,FALSE,active,TRUE,FALSE,FALSE,TRUE,Nottinghamshire,DN22 7SW,Retford,Rossington's Business Park,2022-12-31,2023-09-30,FALSE,2022-01-01,2021-12-31,full,2021-01-01,2021-12-31,2023-09-30,2022-12-31,31,12,FALSE,2024-01-01,FALSE,2023-01-01,2024-01-15,/company/02682789,/company/02682789/filing-history,/company/02682789/officers,/company/02682789/persons-with-significant-control,,"[{'name': 'PIB RISK SERVICES PLC', 'ceased_on': '2017-03-29', 'effective_from': '2017-03-29'}, {'effective_from': '1995-06-01', 'name': 'COOKE & MASON PLC', 'ceased_on': '2017-03-29'}, {'effective_from': '1992-11-24', 'ceased_on': '1995-06-01', 'name': 'COOKE & MASON COMMERCIAL LIMITED'}, {'effective_from': '1992-01-30', 'name': 'FORAY 362 LIMITED', 'ceased_on': '1992-11-24'}]",West Carr Road,/company/02682789/charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIB Risk Services Ltd T/As PIB Insurance Brokers (Leicester),['65120'],PIB RISK SERVICES LIMITED,2682789,england-wales,2016-01-01,1992-01-30,ltd,,FALSE,FALSE,6417ce2dd161061589954be4793cdbdb54e5d28d,FALSE,active,TRUE,FALSE,FALSE,TRUE,Nottinghamshire,DN22 7SW,Retford,Rossington's Business Park,2022-12-31,2023-09-30,FALSE,2022-01-01,2021-12-31,full,2021-01-01,2021-12-31,2023-09-30,2022-12-31,31,12,FALSE,2024-01-01,FALSE,2023-01-01,2024-01-15,/company/02682789,/company/02682789/filing-history,/company/02682789/officers,/company/02682789/persons-with-significant-control,,"[{'name': 'PIB RISK SERVICES PLC', 'ceased_on': '2017-03-29', 'effective_from': '2017-03-29'}, {'effective_from': '1995-06-01', 'name': 'COOKE & MASON PLC', 'ceased_on': '2017-03-29'}, {'effective_from': '1992-11-24', 'ceased_on': '1995-06-01', 'name': 'COOKE & MASON COMMERCIAL LIMITED'}, {'effective_from': '1992-01-30', 'name': 'FORAY 362 LIMITED', 'ceased_on': '1992-11-24'}]",West Carr Road,/company/02682789/charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIB Risk Services Ltd T/As PIB Insurance Brokers (Leicester) CANX,['66220'],PIB RISK SERVICES LIMITED,2682789,england-wales,2016-01-01,1992-01-30,ltd,,FALSE,FALSE,6417ce2dd161061589954be4793cdbdb54e5d28d,FALSE,active,TRUE,FALSE,FALSE,TRUE,Nottinghamshire,DN22 7SW,Retford,Rossington's Business Park,2022-12-31,2023-09-30,FALSE,2022-01-01,2021-12-31,full,2021-01-01,2021-12-31,2023-09-30,2022-12-31,31,12,FALSE,2024-01-01,FALSE,2023-01-01,2024-01-15,/company/02682789,/company/02682789/filing-history,/company/02682789/officers,/company/02682789/persons-with-significant-control,,"[{'name': 'PIB RISK SERVICES PLC', 'ceased_on': '2017-03-29', 'effective_from': '2017-03-29'}, {'effective_from': '1995-06-01', 'name': 'COOKE & MASON PLC', 'ceased_on': '2017-03-29'}, {'effective_from': '1992-11-24', 'ceased_on': '1995-06-01', 'name': 'COOKE & MASON COMMERCIAL LIMITED'}, {'effective_from': '1992-01-30', 'name': 'FORAY 362 LIMITED', 'ceased_on': '1992-11-24'}]",West Carr Road,/company/02682789/charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Momentum Broker Solutions Ltd,['66220'],MOMENTUM BROKER SOLUTIONS LTD,7267159,england-wales,2016-06-21,2010-05-27,ltd,active,FALSE,FALSE,b0bca3a7729c462ae6cd6606638b9af1294c5a99,FALSE,active,TRUE,FALSE,FALSE,TRUE,,LE19 4XT,Leicester,Press House Narborough Wood Park,2023-12-31,2024-09-30,FALSE,2023-01-01,2022-12-31,full,2022-01-01,2022-12-31,2024-09-30,2023-12-31,31,12,FALSE,2023-06-21,FALSE,2022-06-21,2023-07-05,/company/07267159,/company/07267159/filing-history,/company/07267159/officers,/company/07267159/persons-with-significant-control,,,Desford Road Enderby,/company/07267159/charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthur J Gallagher (UK) Ltd (Portmore IB Ltd),['66220'],ARTHUR J. GALLAGHER INSURANCE BROKERS LIMITED,SC108909,scotland,2016-01-16,1988-01-26,ltd,,FALSE,FALSE,ade3832e1a81f789d9a78dd57975599178e93ce6,FALSE,active,TRUE,FALSE,FALSE,TRUE,Scotland,G2 7AT,Glasgow,Spectrum Building,2023-12-31,2024-09-30,FALSE,2023-01-01,2022-12-31,full,2022-01-01,2022-12-31,2024-09-30,2023-12-31,31,12,FALSE,2024-01-16,FALSE,2023-01-16,2024-01-30,/company/SC108909,/company/SC108909/filing-history,/company/SC108909/officers,/company/SC108909/persons-with-significant-control,Scotland,"[{'effective_from': '1995-08-15', 'name': 'GILES INSURANCE BROKERS LIMITED', 'ceased_on': '2014-05-06'}, {'effective_from': '1988-03-24', 'name': 'GILES INSURANCE SERVICES LIMITED', 'ceased_on': '1995-08-15'}, {'name': 'SKILLPLEDGE LIMITED', 'ceased_on': '1988-03-24', 'effective_from': '1988-01-26'}]",55 Blythswood Street,/company/SC108909/charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPM Insurance Management Ltd trading as BEAM,['66220'],JPM (INSURANCE MANAGEMENT) LIMITED,3867939,england-wales,2015-10-28,1999-10-28,ltd,active,FALSE,FALSE,43e4f4b2dd6cf84d5483e53c0ef0401df58f967f,FALSE,active,TRUE,FALSE,FALSE,TRUE,West Midlands,DY5 1LN,Brierley Hill,"Barberry House, 4 Harbour Buildings, Waterfront West",2023-01-31,2023-10-31,FALSE,2022-02-01,2022-01-31,total-exemption-full,2021-02-01,2022-01-31,2023-10-31,2023-01-31,31,1,FALSE,2024-01-18,FALSE,2023-01-18,2024-02-01,/company/03867939,/company/03867939/filing-history,/company/03867939/officers,/company/03867939/persons-with-significant-control,England,,Dudley Road,/company/03867939/charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRG Financial Solutions Ltd T/a LRG Insurance,['82990'],LRG FINANCIAL SOLUTIONS LIMITED,4744633,england-wales,2016-04-25,2003-04-25,ltd,active,FALSE,FALSE,3587a0ef175a6b0cd14137aeb0b5e5b210336fd2,FALSE,active,FALSE,FALSE,FALSE,TRUE,,WD3 1DD,Hertfordshire,24 Church Street,2022-12-31,2023-09-30,FALSE,2022-01-01,2021-12-31,total-exemption-full,2021-01-01,2021-12-31,2023-09-30,2022-12-31,31,12,FALSE,2024-04-25,FALSE,2023-04-25,2024-05-09,/company/04744633,/company/04744633/filing-history,/company/04744633/officers,/company/04744633/persons-with-significant-control,,,Rickmansworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blythin & Brown Insurance Brokers Ltd,['65120'],BLYTHIN AND BROWN (INSURANCE BROKERS) LIMITED,1073357,england-wales,2015-07-25,1972-09-25,ltd,,FALSE,FALSE,b080914a4a7ba0bf95ed3cbdb052fceda13759ca,FALSE,active,TRUE,FALSE,FALSE,TRUE,Leicestershire,LE12 7TZ,Loughborough,The Point Granite Way,2023-02-28,2023-11-30,FALSE,2022-03-01,2022-02-28,small,2021-03-01,2022-02-28,2023-11-30,2023-02-28,28,2,FALSE,2023-07-25,FALSE,2022-07-25,2023-08-08,/company/01073357,/company/01073357/filing-history,/company/01073357/officers,/company/01073357/persons-with-significant-control,,"[{'ceased_on': '1993-10-01', 'effective_from': '1972-09-25', 'name': 'BLYTHIN & BROWN LIMITED'}]",Mountsorrel,/company/01073357/charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berns Brett Ltd,['65120'],H. BERNSTEIN INSURANCE BROKERS LIMITED,515681,england-wales,2016-06-14,1953-01-31,ltd,,FALSE,FALSE,5b1eac77871791052944a650db3c50cb0f313f1d,FALSE,active,FALSE,FALSE,FALSE,TRUE,,EC3R 7PD,London,2 Minster Court,2022-12-31,2023-09-30,FALSE,2022-01-01,2021-12-31,dormant,2021-01-01,2021-12-31,2023-09-30,2022-12-31,31,12,FALSE,2023-07-13,FALSE,2022-07-13,2023-07-27,/company/00515681,/company/00515681/filing-history,/company/00515681/officers,/company/00515681/persons-with-significant-control,England,"[{'name': 'POTOTZKY & CO.(INSURANCE BROKERS)LIMITED', 'effective_from': '1953-01-31', 'ceased_on': '1978-12-31'}]",Mincing Lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIB Risk Services Ltd T/as PIB Insurance Brokers (London),['66220'],PIB RISK SERVICES LIMITED,2682789,england-wales,2016-01-01,1992-01-30,ltd,,FALSE,FALSE,6417ce2dd161061589954be4793cdbdb54e5d28d,FALSE,active,TRUE,FALSE,FALSE,TRUE,Nottinghamshire,DN22 7SW,Retford,Rossington's Business Park,2022-12-31,2023-09-30,FALSE,2022-01-01,2021-12-31,full,2021-01-01,2021-12-31,2023-09-30,2022-12-31,31,12,FALSE,2024-01-01,FALSE,2023-01-01,2024-01-15,/company/02682789,/company/02682789/filing-history,/company/02682789/officers,/company/02682789/persons-with-significant-control,,"[{'name': 'PIB RISK SERVICES PLC', 'ceased_on': '2017-03-29', 'effective_from': '2017-03-29'}, {'effective_from': '1995-06-01', 'name': 'COOKE & MASON PLC', 'ceased_on': '2017-03-29'}, {'effective_from': '1992-11-24', 'ceased_on': '1995-06-01', 'name': 'COOKE & MASON COMMERCIAL LIMITED'}, {'effective_from': '1992-01-30', 'name': 'FORAY 362 LIMITED', 'ceased_on': '1992-11-24'}]",West Carr Road,/company/02682789/charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vizion Insurance Brokers Limited (Hedron Network),['66220'],VIZION INSURANCE BROKERS LIMITED,10185224,england-wales,,2016-05-17,ltd,,FALSE,,7059259f747c27ea1afcf92a8cbabf04d845d59a,FALSE,active,TRUE,FALSE,FALSE,TRUE,Surrey,GU7 1LQ,"Godalming,",Ashcombe Court,2023-04-30,2024-01-31,FALSE,2022-05-01,2022-04-30,total-exemption-full,2021-05-01,2022-04-30,2024-01-31,2023-04-30,30,4,FALSE,2024-05-16,FALSE,2023-05-16,2024-05-30,/company/10185224,/company/10185224/filing-history,/company/10185224/officers,/company/10185224/persons-with-significant-control,United Kingdom,"[{'ceased_on': '2016-11-21', 'effective_from': '2016-05-17', 'name': 'VIZION BROKERS LIMITED'}]","Woolsack Way,",/company/10185224/charges,/company/10185224/persons-with-significant-control-statements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthur J Gallagher (UK) Ltd (Hughes Plane Ltd),['65120'],ARTHUR J. GALLAGHER INSURANCE BROKERS LIMITED,SC108909,scotland,2016-01-16,1988-01-26,ltd,,FALSE,FALSE,ade3832e1a81f789d9a78dd57975599178e93ce6,FALSE,active,TRUE,FALSE,FALSE,TRUE,Scotland,G2 7AT,Glasgow,Spectrum Building,2023-12-31,2024-09-30,FALSE,2023-01-01,2022-12-31,full,2022-01-01,2022-12-31,2024-09-30,2023-12-31,31,12,FALSE,2024-01-16,FALSE,2023-01-16,2024-01-30,/company/SC108909,/company/SC108909/filing-history,/company/SC108909/officers,/company/SC108909/persons-with-significant-control,Scotland,"[{'effective_from': '1995-08-15', 'name': 'GILES INSURANCE BROKERS LIMITED', 'ceased_on': '2014-05-06'}, {'effective_from': '1988-03-24', 'name': 'GILES INSURANCE SERVICES LIMITED', 'ceased_on': '1995-08-15'}, {'name': 'SKILLPLEDGE LIMITED', 'ceased_on': '1988-03-24', 'effective_from': '1988-01-26'}]",55 Blythswood Street,/company/SC108909/charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hallett Independent Limited (Private Client),['66220'],SKB INDEPENDENT INSURANCE BROKERS LTD,SC429020,scotland,2015-07-25,2012-07-25,ltd,active,FALSE,FALSE,02f9495dcde95dcff7b62b857405697602b8f974,FALSE,active,FALSE,FALSE,FALSE,TRUE,,EH2 4AN,Edinburgh,5 South Charlotte Street,2023-07-31,2024-04-30,FALSE,2022-08-01,2022-07-31,micro-entity,2021-08-01,2022-07-31,2024-04-30,2023-07-31,31,7,FALSE,2023-09-09,FALSE,2022-09-09,2023-09-23,/company/SC429020,/company/SC429020/filing-history,/company/SC429020/officers,/company/SC429020/persons-with-significant-control,United Kingdom,"[{'name': 'SKB RISK SERVICES LTD', 'ceased_on': '2019-01-18', 'effective_from': '2012-07-25'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tysers (Hitchin – Private Client),['66220'],TYSERS INSURANCE BROKERS LIMITED,2957627,england-wales,2015-08-11,1994-08-11,ltd,,FALSE,FALSE,f1b25d164ff0e83491afe2bcb8e671f4724b1c6d,FALSE,active,TRUE,FALSE,FALSE,TRUE,,EC3M 4BS,London,71 Fenchurch Street,2023-06-30,2024-03-31,FALSE,2022-01-01,2021-12-31,full,2021-01-01,2021-12-31,2024-03-31,2023-06-30,30,6,FALSE,2023-07-07,FALSE,2022-07-07,2023-07-21,/company/02957627,/company/02957627/filing-history,/company/02957627/officers,/company/02957627/persons-with-significant-control,United Kingdom,"[{'effective_from': '2006-08-10', 'name': 'INTEGRO INSURANCE BROKERS LIMITED', 'ceased_on': '2020-07-06'}, {'ceased_on': '2006-08-10', 'name': 'HUMPHREYS, HAGGAS, SUTTON & CO LIMITED', 'effective_from': '1994-09-13'}, {'ceased_on': '1994-09-13', 'effective_from': '1994-08-11', 'name': 'WHITE CROSS BALFOUR LIMITED'}]",,/company/02957627/charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tysers (London – Private Client),['65120'],TYSERS INSURANCE BROKERS LIMITED,2957627,england-wales,2015-08-11,1994-08-11,ltd,,FALSE,FALSE,f1b25d164ff0e83491afe2bcb8e671f4724b1c6d,FALSE,active,TRUE,FALSE,FALSE,TRUE,,EC3M 4BS,London,71 Fenchurch Street,2023-06-30,2024-03-31,FALSE,2022-01-01,2021-12-31,full,2021-01-01,2021-12-31,2024-03-31,2023-06-30,30,6,FALSE,2023-07-07,FALSE,2022-07-07,2023-07-21,/company/02957627,/company/02957627/filing-history,/company/02957627/officers,/company/02957627/persons-with-significant-control,United Kingdom,"[{'effective_from': '2006-08-10', 'name': 'INTEGRO INSURANCE BROKERS LIMITED', 'ceased_on': '2020-07-06'}, {'ceased_on': '2006-08-10', 'name': 'HUMPHREYS, HAGGAS, SUTTON & CO LIMITED', 'effective_from': '1994-09-13'}, {'ceased_on': '1994-09-13', 'effective_from': '1994-08-11', 'name': 'WHITE CROSS BALFOUR LIMITED'}]",,/company/02957627/charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Everett Mead Limited,,MEADONS INSURANCE BROKERS LIMITED,5035657,england-wales,2016-02-05,2004-02-05,ltd,,FALSE,,9633168eae7897aedb3277de709a3f9f3df08ffd,FALSE,active,TRUE,FALSE,FALSE,TRUE,,EC3R 7NE,London,7th Floor Corn Exchange,2022-12-31,2023-09-30,FALSE,2022-04-01,2022-03-31,audit-exemption-subsidiary,2021-04-01,2022-03-31,2023-09-30,2022-12-31,31,12,FALSE,2024-02-05,FALSE,2023-02-05,2024-02-19,/company/05035657,/company/05035657/filing-history,/company/05035657/officers,/company/05035657/persons-with-significant-control,England,,55 Mark Lane,/company/05035657/charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRP Retail Limited,['65120'],LOCKTON INSURANCE BROKERS (IRELAND) LIMITED UK BRANCH,BR021299,,,2019-03-06,uk-establishment,,,,286fb49a451c6e24299c7f53121a63149721c0fa,,closed,,,FALSE,FALSE,,EC3A 7AG,London,The St Botolph Building 138 Houndsditch,,,,,,,,,,,,,,,,,,/company/BR021299,,,,,,,,,,,LOCKTON INSURANCE BROKERS (IRELAND) LIMITED,FC036211,Insurance Intermediation,/company/FC036211,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clarke Williams Ltd,['96090'],CLARKE DOVE (INSURANCE BROKERS) LIMITED,1620212,england-wales,2015-09-28,1982-03-05,ltd,,FALSE,FALSE,c615ae3f8269a69b712475e77ab05f19d9b6db65,FALSE,active,TRUE,FALSE,FALSE,TRUE,,NG3 5QR,Nottingham,906 Woodborough Road,2023-12-31,2024-09-30,FALSE,2023-01-01,2022-12-31,total-exemption-full,2022-01-01,2022-12-31,2024-09-30,2023-12-31,31,12,FALSE,2023-09-28,FALSE,2022-09-28,2023-10-12,/company/01620212,/company/01620212/filing-history,/company/01620212/officers,/company/01620212/persons-with-significant-control,,,Mapperley,/company/01620212/charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giles Gowers Insurance Associates,,GILES GOWERS PROPERTY DEVELOPMENT LIMITED,4378111,england-wales,2016-02-20,2002-02-20,ltd,active,FALSE,FALSE,662951f92abb1288ff823deab8fa24ab1d3ef269,FALSE,active,FALSE,FALSE,FALSE,TRUE,Essex,CM9 4ER,Heybridge Maldon,1b The Svt Building,2023-03-31,2023-12-31,FALSE,2022-04-01,2022-03-31,micro-entity,2021-04-01,2022-03-31,2023-12-31,2023-03-31,31,3,FALSE,2024-03-12,FALSE,2023-03-12,2024-03-26,/company/04378111,/company/04378111/filing-history,/company/04378111/officers,/company/04378111/persons-with-significant-control,,,Holloway Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porterhouse Brokers LLP,['64205'],PORTERHOUSE BROKERS LLP,OC354547,england-wales,,2010-04-29,llp,active,FALSE,FALSE,d6a7b36abbbf4da4872a01d490552479179e15b6,FALSE,active,TRUE,FALSE,FALSE,FALSE,,PE19 2BU,St. Neots,Howard House,2022-12-31,2023-09-30,FALSE,2022-01-01,2021-12-31,total-exemption-full,2021-01-01,2021-12-31,2023-09-30,2022-12-31,31,12,FALSE,2024-04-29,FALSE,2023-04-29,2024-05-13,/company/OC354547,/company/OC354547/filing-history,/company/OC354547/officers,/company/OC354547/persons-with-significant-control,England,,17 Church Street,/company/OC354547/charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Towergate (Cardiff),['65120'],ARDONAGH ADVISORY HOLDINGS LIMITED,11550030,england-wales,,2018-09-03,ltd,,FALSE,,bcc5209a815fa579942ed3bbf6f9064fd06f0923,FALSE,active,TRUE,FALSE,FALSE,TRUE,,EC3R 7PD,London,2 Minster Court,2022-12-31,2023-09-30,FALSE,2022-01-01,2021-12-31,audit-exemption-subsidiary,2021-01-01,2021-12-31,2023-09-30,2022-12-31,31,12,FALSE,2023-09-02,FALSE,2022-09-02,2023-09-16,/company/11550030,/company/11550030/filing-history,/company/11550030/officers,/company/11550030/persons-with-significant-control,United Kingdom,"[{'ceased_on': '2019-12-12', 'effective_from': '2018-09-03', 'name': 'TOWERGATE INSURANCE BROKING HOLDINGS LIMITED'}]",Mincing Lane,/company/11550030/charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Higos Thatch Scheme,['66220'],HIGOS INSURANCE SERVICES LIMITED,2667978,england-wales,2015-12-03,1991-12-03,ltd,,FALSE,,3779d4bd4f6e04eb0b3a85094489654429db7fa1,FALSE,active,TRUE,FALSE,FALSE,TRUE,,EC3R 7NE,London,7th Floor Corn Exchange,2022-12-31,2023-09-30,FALSE,2022-04-01,2022-03-31,audit-exemption-subsidiary,2021-04-01,2022-03-31,2023-09-30,2022-12-31,31,12,FALSE,2023-12-03,FALSE,2022-12-03,2023-12-17,/company/02667978,/company/02667978/filing-history,/company/02667978/officers,/company/02667978/persons-with-significant-control,England,"[{'ceased_on': '1992-09-09', 'effective_from': '1991-12-03', 'name': 'HIGOS FINANCIAL SERVICES (GLASTONBURY) LIMITED'}]",55 Mark Lane,/company/02667978/charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hartinsure Ltd t/a Hart Insurance Brokers,['66220'],HARTINSURE LIMITED,SC631286,scotland,,2019-05-23,ltd,,FALSE,,a1745786eace361bf5748108a0123a37c2237199,FALSE,active,FALSE,FALSE,FALSE,TRUE,Argyll And Bute,G84 8AS,Helensburgh,10 James Street,2023-08-31,2024-05-31,FALSE,2022-09-01,2022-08-31,total-exemption-full,2021-09-01,2022-08-31,2024-05-31,2023-08-31,31,8,FALSE,2023-10-05,FALSE,2022-10-05,2023-10-19,/company/SC631286,/company/SC631286/filing-history,/company/SC631286/officers,/company/SC631286/persons-with-significant-control,Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
